ncores,fps,freq,p_cur,p_min,p_max
1,2.65957,1896000,7.6,6.9,8.0
1,2.47924,1704000,7.8,6.9,7.9
1,2.36753,1608000,7.5,6.9,7.9
1,2.25207,1512000,7.7,6.9,7.8
1,2.09594,1398000,7.4,6.9,7.8
1,1.83318,1200000,7.4,6.9,7.8
1,1.5629,1000000,7.3,6.9,7.7
1,1.10061,667000,7.3,6.8,7.7
1,1.09754,500000,7.2,6.8,7.7
1,1.09876,250000,7.3,6.8,7.7
1,1.09827,100000,7.2,6.8,7.7
2,5.12479,1896000,8.0,6.9,8.5
2,4.73519,1704000,7.8,6.9,8.2
2,4.50816,1608000,7.8,6.9,8.2
2,4.27313,1512000,7.7,6.9,8.1
2,3.97862,1398000,7.6,6.9,8.0
2,3.46817,1200000,7.6,6.9,7.9
2,2.98024,1000000,7.7,6.9,7.9
2,1.92539,667000,7.4,6.9,8.1
2,1.92962,500000,7.4,6.8,7.7
2,1.9261,250000,7.4,7.0,8.0
2,1.91412,100000,7.5,6.9,7.9
