fcount,fps,fps_avg
5,1.9963,1.9963
10,5.34871,2.90738
15,5.18752,3.40645
20,5.19282,3.72695
25,5.13227,3.94285
30,5.13043,4.10105
35,5.04417,4.21357
40,5.06004,4.30354
45,5.37821,4.40124
50,5.0655,4.45971
55,5.14529,4.51438
60,5.08143,4.55674
65,5.11612,4.59537
70,5.16048,4.63159
75,5.02759,4.65602
80,5.0977,4.68136
85,5.15689,4.70688
90,5.19697,4.73166
95,5.12844,4.751
100,5.11295,4.76786
105,5.29627,4.79061
110,5.19607,4.80766
115,5.19109,4.82314
120,5.12693,4.83507
125,5.0826,4.8445
130,5.15304,4.85567
135,4.94426,4.85889
140,5.01561,4.86431
145,5.18656,4.87475
150,5.05794,4.88063
155,5.19879,4.89028
160,5.13355,4.89753
165,5.29382,4.90866
170,5.23335,4.91763
175,5.03332,4.92085
180,5.12039,4.92618
185,5.22958,4.93391
190,5.19637,4.94047
195,5.14728,4.94556
200,5.20829,4.9518
205,5.09618,4.95522
210,5.1701,4.96012
215,5.24527,4.9664
220,5.1102,4.96957
225,5.3347,4.97714
230,5.31742,4.98407
235,5.2231,4.98892
240,5.06931,4.99056
245,5.30398,4.99658
250,5.01412,4.99693
255,5.12787,4.99943
260,5.3197,5.00522
265,5.22543,5.00919
270,5.15939,5.01189
275,5.13988,5.01416
280,5.23663,5.01796
285,5.19721,5.021
290,5.17253,5.02353
295,5.22103,5.02675
300,5.20429,5.02961
305,5.26069,5.03323
310,5.14763,5.03503
315,5.24781,5.03827
320,5.37984,5.04327
325,5.07303,5.04372
330,5.27255,5.04704
335,5.16641,5.04877
340,5.27911,5.05201
345,5.18272,5.05386
350,5.17159,5.0555
355,5.24408,5.05806
360,5.10952,5.05876
365,5.1707,5.06026
370,5.3159,5.06355
375,5.06328,5.06354
380,5.16373,5.06483
385,5.14412,5.06584
390,5.13878,5.06676
395,5.30723,5.06966
400,5.10821,5.07014
405,5.16402,5.07128
410,5.08274,5.07141
415,5.1331,5.07214
420,4.902,5.07005
425,5.20145,5.07155
430,5.21809,5.07321
435,5.17361,5.07434
440,5.24407,5.0762
445,5.09948,5.07646
450,5.22002,5.07801
455,5.1429,5.07871
460,5.15351,5.07951
465,5.33472,5.08212
470,5.19104,5.08325
475,5.15314,5.08398
480,5.27517,5.08589
485,5.40147,5.08896
490,5.28484,5.09088
495,5.28091,5.09273
500,5.2616,5.09436
505,5.08491,5.09427
510,5.02423,5.09357
515,5.20102,5.09459
520,5.26646,5.09618
525,5.15169,5.0967
530,5.16284,5.09732
535,5.01632,5.09655
540,5.17242,5.09724
545,5.19014,5.09807
550,5.23357,5.09927
555,5.32541,5.10122
560,5.3201,5.10309
565,5.35849,5.10525
570,5.14475,5.10559
575,5.11398,5.10566
580,5.08965,5.10552
585,5.283,5.10698
590,5.14336,5.10729
595,5.30145,5.10886
600,5.11169,5.10888
605,5.28904,5.11032
610,5.17416,5.11083
615,5.12411,5.11094
620,5.35287,5.1128
625,5.22319,5.11366
630,5.31643,5.11521
635,5.21377,5.11597
640,5.14976,5.11623
645,5.32825,5.11781
650,5.31674,5.11928
655,5.13232,5.11937
660,5.38088,5.12126
665,5.14567,5.12144
670,5.15596,5.12169
675,5.23146,5.12249
680,5.36649,5.1242
685,5.19152,5.12468
690,5.05665,5.12418
695,5.13058,5.12423
700,5.32225,5.12559
705,5.15172,5.12577
710,5.14427,5.1259
715,5.24645,5.12672
720,5.2496,5.12755
725,5.19715,5.12802
730,5.11745,5.12795
735,5.04964,5.12741
740,5.33106,5.12873
745,5.21131,5.12927
750,5.21282,5.12982
755,5.1166,5.12973
760,5.20699,5.13023
765,5.11843,5.13015
770,5.1219,5.1301
775,5.25325,5.13087
780,5.14258,5.13094
785,5.19652,5.13136
790,5.12746,5.13133
795,5.12217,5.13127
800,5.1752,5.13154
805,5.34278,5.1328
810,5.19096,5.13315
815,5.19396,5.13352
820,5.27094,5.13434
825,5.24448,5.13499
830,5.21295,5.13545
835,5.27059,5.13624
840,5.19995,5.13661
845,5.18277,5.13688
850,5.0974,5.13665
855,5.23667,5.13722
860,5.14856,5.13728
865,5.03246,5.13666
870,5.15822,5.13678
875,5.07461,5.13642
880,5.09111,5.13616
885,5.14215,5.1362
890,5.22696,5.1367
895,5.27877,5.13747
900,5.22451,5.13794
905,5.15836,5.13805
910,5.15009,5.13812
915,5.23459,5.13863
920,5.22381,5.13909
925,5.17967,5.1393
930,5.16839,5.13946
935,5.20213,5.13979
940,5.24664,5.14034
945,5.20253,5.14067
950,5.21519,5.14105
955,5.27117,5.14172
960,5.17284,5.14188
965,4.96793,5.14094
970,5.16148,5.14105
975,5.16707,5.14118
980,5.22689,5.14161
985,5.0534,5.14115
990,5.34435,5.14214
995,5.15148,5.14218
1000,5.31029,5.143
