fcount,fps,fps_avg
5,2.83083,2.83082
10,13.9556,4.70675
15,13.3249,6.0003
20,13.8902,6.99333
25,13.9782,7.76977
30,14.1921,8.40351
35,13.96,8.91009
40,13.5362,9.30764
45,13.9752,9.6663
50,13.7469,9.96195
55,14.3016,10.2445
60,14.2694,10.491
65,14.1187,10.7025
70,14.1436,10.8917
75,13.5916,11.0379
80,13.7912,11.1773
85,14.1949,11.3188
90,14.0815,11.4435
95,14.1677,11.5604
100,14.0034,11.6621
105,14.0427,11.757
110,14.2114,11.85
115,13.8233,11.9239
120,14.0487,11.9995
125,14.2265,12.0751
130,14.0584,12.1409
135,14.0263,12.2016
140,14.1237,12.2612
145,14.0106,12.3142
150,13.9181,12.3616
155,14.036,12.4094
160,13.8828,12.4506
165,13.8335,12.4884
170,14.218,12.5332
175,13.8666,12.5677
180,14.0045,12.6036
185,13.9944,12.6376
190,13.9424,12.6687
195,14.2147,12.7041
200,13.9042,12.7316
205,14.0217,12.7602
210,14.0909,12.7889
215,14.2877,12.8202
220,13.9629,12.844
225,14.2766,12.8727
230,14.0957,12.897
235,14.0969,12.9204
240,14.1344,12.9435
245,13.8836,12.9614
250,14.1965,12.984
255,13.895,13.0007
260,14.0689,13.0197
265,14.1328,13.039
270,14.096,13.0572
275,13.8579,13.0709
280,14.1583,13.0888
285,14.0688,13.1048
290,14.1825,13.122
295,14.1809,13.1386
300,13.5016,13.1445
305,13.9913,13.1575
310,14.1114,13.1718
315,14.0094,13.1843
320,13.9288,13.1953
325,14.1083,13.2085
330,13.7476,13.2163
335,14.2249,13.2303
340,13.5118,13.2343
345,14.0653,13.2457
350,13.7519,13.2526
355,14.1659,13.2646
360,13.8821,13.2728
365,13.7845,13.2796
370,14.0249,13.2891
375,14.1403,13.2997
380,13.7118,13.305
385,14.0127,13.3137
390,14.0873,13.3231
395,13.8713,13.3297
400,14.2546,13.3405
405,13.8985,13.3471
410,14.018,13.3549
415,14.2459,13.365
420,14.1856,13.3742
425,13.943,13.3806
430,14.0721,13.3882
435,13.7524,13.3923
440,14.2379,13.4013
445,14.1793,13.4096
450,14.001,13.4159
455,14.1458,13.4235
460,13.7662,13.4271
465,14.1808,13.4347
470,13.9907,13.4404
475,14.2136,13.4481
480,14.0115,13.4537
485,13.7605,13.4568
490,13.4749,13.457
495,13.0375,13.4526
500,14.12,13.4589
505,12.7524,13.4516
510,12.6947,13.4437
515,12.7834,13.4369
520,12.7456,13.4299
525,12.7295,13.4229
530,12.6938,13.4156
535,12.1655,13.4027
540,12.2175,13.3907
545,12.1448,13.378
550,12.5935,13.3705
555,12.6258,13.3633
560,12.7119,13.3572
565,12.6775,13.3509
570,12.7307,13.3452
575,12.7509,13.3397
580,12.6641,13.3336
585,12.6606,13.3275
590,12.8091,13.3229
595,12.7189,13.3176
600,12.6316,13.3116
605,12.543,13.3048
610,12.6601,13.2993
615,12.1125,13.2887
620,12.6471,13.2832
625,11.8318,13.2702
630,12.7552,13.2659
635,12.6648,13.261
640,12.7564,13.2569
645,12.7233,13.2525
650,12.4901,13.2463
655,12.6763,13.2417
660,12.7014,13.2375
665,12.7066,13.2333
670,12.7422,13.2295
675,12.5672,13.2243
680,12.6297,13.2197
685,12.6679,13.2155
690,12.6228,13.211
695,12.7244,13.2074
700,12.5948,13.2028
705,12.6975,13.199
710,12.8135,13.1962
715,12.7244,13.1928
720,11.5506,13.1798
725,12.5575,13.1753
730,12.7433,13.1722
735,12.6792,13.1687
740,12.7615,13.1658
745,12.7248,13.1628
750,12.4104,13.1574
755,12.6929,13.1542
760,12.1729,13.1473
765,12.6868,13.1441
770,12.6358,13.1407
775,11.9941,13.1326
780,12.7486,13.13
785,12.6971,13.1272
790,12.6151,13.1238
795,12.7032,13.1211
800,12.2667,13.1153
805,12.6428,13.1123
810,12.7047,13.1097
815,12.7209,13.1072
820,12.6877,13.1046
825,12.3876,13.1
830,12.7682,13.0979
835,12.1676,13.0919
840,12.6836,13.0894
845,12.7212,13.0871
850,12.6787,13.0846
855,12.6894,13.0823
860,12.5913,13.0793
865,12.6359,13.0766
870,12.6744,13.0742
875,12.5492,13.0711
880,12.6544,13.0686
885,12.581,13.0658
890,12.837,13.0644
895,12.583,13.0616
900,12.6389,13.0592
905,12.6944,13.0571
910,12.6633,13.0549
915,12.2448,13.0502
920,12.8184,13.0489
925,12.6854,13.0469
930,12.5659,13.0442
935,12.7267,13.0424
940,12.5592,13.0397
945,12.6952,13.0379
950,12.7152,13.0361
955,12.6676,13.0341
960,12.2176,13.0296
965,12.2943,13.0255
970,12.6737,13.0237
975,12.7424,13.0222
980,12.7127,13.0206
985,12.8078,13.0194
990,12.4108,13.0162
995,12.4681,13.0133
1000,12.6641,13.0115
